Date,Open,High,Low,Close,Volume,Adj Close
2017-05-10,29.09,29.469999,28.33,28.51,25255458,28.51
2017-05-09,29.9,30.110001,28.709999,29.0,33260510,29.0
2017-05-08,30.379999,30.99,30.0,30.0,19360885,30.0
2017-05-05,30.950001,31.370001,30.33,30.469999,20969280,30.469999
2017-05-04,31.370001,31.83,30.950001,30.950001,13410529,30.950001
2017-05-03,31.200001,32.09,31.200001,31.6,16662659,31.6
2017-05-02,31.700001,31.719999,31.17,31.299999,11730702,31.299999
2017-04-28,31.629999,31.870001,31.35,31.700001,13496821,31.700001
2017-04-27,31.6,31.870001,30.68,31.610001,23727569,31.610001
2017-04-26,30.91,32.389999,30.9,31.76,26112719,31.76
2017-04-25,30.76,31.4,30.700001,30.860001,16748715,30.860001
2017-04-24,30.75,31.18,29.809999,30.870001,22750144,30.870001
2017-04-21,31.049999,31.08,30.52,30.57,11268986,30.57
2017-04-20,30.9,31.15,30.620001,31.059999,18312829,30.959999
2017-04-19,30.59,30.889999,30.200001,30.809999,22892165,30.710804
2017-04-18,31.5,31.950001,30.25,30.440001,50912080,30.341995
2017-04-17,32.459999,33.0,31.91,32.709999,15694556,32.604687
2017-04-14,32.830002,33.130001,32.5,32.57,15001106,32.465137
2017-04-13,32.540001,33.27,32.540001,32.84,17670205,32.734268
2017-04-12,32.919998,33.139999,32.299999,32.360001,20050423,32.255814
2017-04-11,32.990002,33.389999,32.220001,33.189999,34268224,33.083141
2017-04-10,35.130001,35.130001,32.84,33.0,59093633,32.893753
2017-04-07,35.139999,35.849998,35.119999,35.169998,24138418,35.056767
2017-04-06,35.799999,35.98,35.209999,35.349998,27425911,35.236187
2017-04-05,35.099998,36.200001,34.849998,35.810001,41174584,35.694706
2017-03-31,34.75,35.48,34.59,35.099998,27960193,34.986992
2017-03-30,34.700001,35.380001,34.5,34.639999,34638366,34.528473
2017-03-29,35.470001,35.700001,34.849998,34.93,30934609,34.817539
2017-03-28,36.0,36.0,35.080002,35.27,30438346,35.156445
2017-03-27,36.18,36.779999,35.830002,36.040001,34756459,35.923965
2017-03-24,35.380001,36.700001,35.380001,36.279999,52842323,36.163193
2017-03-23,35.759998,36.299999,34.849998,35.599998,47505916,35.485382
2017-03-22,34.700001,36.25,34.5,35.93,66535807,35.81432
2017-03-21,33.619999,35.849998,33.400002,35.040001,71727984,34.927185
2017-03-20,33.610001,34.0,33.060001,33.48,28923293,33.372208
2017-03-17,34.91,35.049999,33.580002,33.610001,39616618,33.501789
2017-03-16,33.919998,34.549999,33.759998,34.5,37055946,34.388924
2017-03-15,34.18,34.25,33.5,33.75,39625389,33.641338
2017-03-14,34.400002,35.59,34.009998,34.400002,55464573,34.289246
2017-03-13,34.98,35.970001,34.34,34.59,63329446,34.478634
2017-03-10,33.700001,34.599998,33.310001,34.220001,44220941,34.109825
2017-03-09,33.810001,35.119999,33.599998,33.599998,66336306,33.491821
2017-03-08,33.799999,34.23,33.330002,33.689999,60864987,33.581532
2017-03-07,31.940001,35.110001,31.65,34.369999,119984296,34.259342
2017-03-06,31.5,32.5,31.030001,31.92,52310214,31.81723
2017-03-03,30.360001,30.98,30.110001,30.809999,20457403,30.710804
2017-03-02,30.719999,31.200001,30.32,30.33,16886139,30.232349
2017-03-01,30.76,30.969999,30.5,30.58,12834629,30.481544
2017-02-28,31.0,31.27,30.4,30.76,20871484,30.660965
2017-02-27,30.68,31.559999,30.559999,31.139999,35032547,31.039742
2017-02-24,30.75,31.299999,30.610001,30.76,26192671,30.660965
2017-02-23,30.780001,30.780001,30.24,30.32,16808007,30.222382
2017-02-22,30.51,31.040001,30.299999,30.790001,32672164,30.690868
2017-02-21,29.58,30.84,29.4,30.59,40007974,30.491512
2017-02-20,29.299999,29.780001,29.219999,29.5,10296017,29.405022
2017-02-17,29.82,29.91,29.200001,29.200001,13670993,29.105988
2017-02-16,29.35,30.17,29.129999,29.950001,22174101,29.853573
2017-02-15,29.48,29.639999,29.15,29.280001,13483246,29.18573
2017-02-14,29.35,29.83,29.299999,29.42,14706985,29.325279
2017-02-13,29.32,29.68,29.16,29.290001,15169946,29.195698
2017-02-10,29.91,30.139999,29.219999,29.450001,19876533,29.355183
2017-02-09,30.16,30.35,29.74,29.950001,17021155,29.853573
2017-02-08,29.75,30.450001,29.59,30.01,24249270,29.91338
2017-02-07,29.799999,30.120001,29.4,29.76,26341275,29.664185
2017-02-06,28.08,30.5,27.780001,29.959999,50131991,29.863541
2017-02-03,27.030001,28.280001,27.030001,28.059999,17185848,27.969658
2017-01-26,26.91,27.209999,26.91,27.030001,5022650,26.942974
2017-01-25,26.700001,26.92,26.66,26.82,3335396,26.73365
2017-01-24,26.889999,26.99,26.709999,26.73,3438255,26.64394
2017-01-23,26.75,27.129999,26.74,26.870001,4917284,26.783489
2017-01-20,26.459999,26.93,26.4,26.75,6435767,26.663876
2017-01-19,26.6,26.74,26.35,26.379999,4633769,26.295067
2017-01-18,26.58,26.799999,26.48,26.5,5067110,26.41468
2017-01-17,26.459999,26.950001,26.1,26.82,8215265,26.73365
2017-01-16,26.98,26.98,25.299999,26.440001,11832118,26.354874
2017-01-13,27.440001,27.559999,27.030001,27.1,5992525,27.012749
2017-01-12,27.92,28.040001,27.379999,27.440001,7250155,27.351654
2017-01-11,28.25,28.4,27.809999,27.83,10318445,27.740398
2017-01-10,27.98,28.16,27.709999,27.74,7158094,27.650688
2017-01-09,27.82,28.110001,27.76,27.940001,6280380,27.850044
2017-01-06,28.17,28.17,27.68,27.790001,8486382,27.700527
2017-01-05,28.33,28.83,28.08,28.120001,14791482,28.029465
2017-01-04,27.26,28.08,27.26,28.02,14029479,27.929787
2017-01-03,27.290001,27.58,27.200001,27.389999,7554768,27.301815
